time,x,u,v
0.0,0.2,0.5,1.4592052893584655
0.1,0.243946501601652,0.6459205289358466,-0.018911239322599194
0.2,0.29044478983040634,0.6440294050035865,-0.12004802715169216
0.30000000000000004,0.33345460126050813,0.6320246022884174,-0.09015330503639274
0.4,0.37303606293216873,0.6230092717847783,-0.04362743103565325
0.5,0.40971241384293605,0.6186465286812128,0.003282900974476366
0.6000000000000001,0.44397288771678495,0.6189748187786606,0.04806727052307003
0.7000000000000001,0.47622175181361714,0.6237815458309673,0.09075209209808732
0.8,0.5067845982997434,0.6328567550407761,0.13194225161502016
0.9,0.5359215809360484,0.646050980202278,0.1724043326636655
1.0,0.5638395050514217,0.6632914134686447,0.2129717971713292
1.1,0.590702046473289,0.6845885931857776,0.25452613580930694
1.2000000000000002,0.6166377049794333,0.7100412067667085,0.2980127215373871
1.3,0.6417462503489604,0.7398424789204471,0.34446642746261547
1.4000000000000001,0.6661037370379481,0.7742891216667086,-0.04429631837466452
1.5,0.6890861521453349,0.769859489829242,-0.412401130278301
1.6,0.7096414390076287,0.7286193768014122,-0.5964697329033833
1.7000000000000002,0.7272938974417253,0.6689724035110738,-0.6736345596048467
1.8,0.742084682984585,0.6016089475505892,-0.6852548261960499
1.9000000000000001,0.754271573876426,0.5330834649309841,-0.6561397067989042
2.0,0.7641870581884911,0.46746949425109363,-0.6026418547900756
2.1,0.7721716679950775,0.407205308772086,-0.5361787582791151
2.2,0.77854381065049,0.35358743294417444,-0.4648414044714637
2.3000000000000003,0.7835875718170363,0.30710329249702795,-0.3942290514646771
2.4000000000000004,0.7875492991374878,0.2676803873505601,-0.3279903586502777
2.5,0.7906385198581568,0.23488135148553232,-0.2682581977376046
2.6,0.7930308253857525,0.20805553171177185,-0.2160302404300738
2.7,0.7948715655288208,0.18645250766876448,-0.1715003248213225
2.8000000000000003,0.7962797497613049,0.16930247518663222,-0.13433377822163517
2.9000000000000004,0.7973518158089241,0.15586909736446866,-0.10388255433234517
3.0,0.7981651219574828,0.14548084193123414,-0.07934363305994685
3.1,0.7987811043586748,0.13754647862523947,-0.05986875996818597
3.2,0.799248060556308,0.13155960262842087,-0.044634957592151636
3.3000000000000003,0.7996035615530762,0.1270961068692057,-0.03288567941298881
3.4000000000000004,0.7998765170120061,0.12380753892790679,-0.0283316110215156
3.5,0.8000845638114544,0.12097437782575522,-0.02538530603490785
3.6,0.8002362533598257,0.11843584722226443,-0.022234073349449712
3.7,0.8003385241778117,0.11621243988731947,-0.019134953586982473
3.8000000000000003,0.8003983313947253,0.1142989445286212,-0.016240282313799592
3.9000000000000004,0.8004222422309238,0.11267491629724125,-0.013791789377034624
4.0,0.8004160632248425,0.11129573735953778,-0.012157878760507446
4.1000000000000005,0.8003842554273382,0.11007994948348702,-0.010855647907946908
