time,u_input,CA_concentration,v_input
0.0,1.0,0.5,0.025
0.1,1.0024999999999995,0.5462419920828452,0.02499968750065104
0.2,1.0049999687500646,0.5880639268770028,0.024998750010416633
0.30000000000000004,1.007499843751106,0.6258792208350797,0.02499718755273398
0.4,1.0099995625063791,0.6600635716547995,0.024995000166664446
0.5,1.0124990625230452,0.6909583082937765,0.024992187906892567
0.6,1.014998281313735,0.7188734512390719,0.02498875084372469
0.7,1.0174971563981072,0.7440905084446705,0.024984689063087217
0.7999999999999999,1.019995625304416,0.7668650289040506,0.024980002666524448
0.8999999999999999,1.0224936255710684,0.7874289340465843,0.024974691771196062
0.9999999999999999,1.0249910947481877,0.805992645686217,0.02496875650987416
1.0999999999999999,1.0274879703991748,0.8227470321339364,0.024962197030939964
1.2,1.029984190102269,0.8378651688753911,0.024955013498380106
1.3,1.0324796914521066,0.8515039627157851,0.02494720609178253
1.4000000000000001,1.0349744120612847,0.863805621704537,0.02493877500633199
1.5000000000000002,1.0374682895619178,0.8748989824212627,0.024929720452805188
1.6000000000000003,1.039961261607198,0.8849007799840826,0.024920042657565488
1.7000000000000004,1.0424532658729544,0.8939167130582447,0.02490974186255726
1.8000000000000005,1.0449442400592104,0.9020424756122097,0.02489881832529986
1.9000000000000006,1.04743412189174,0.9093646806201603,0.024887272318881132
2.0000000000000004,1.0499228491236277,0.9159617007278034,0.024875104131950643
2.1000000000000005,1.0524103595368226,0.9219044331330188,0.024862314068712435
2.2000000000000006,1.0548965909436936,0.9272569953661262,0.024848902448917423
2.3000000000000007,1.0573814811885855,0.9320773580130797,0.024834869607855397
2.400000000000001,1.059864968149371,0.9364179199289053,0.024820215896346656
2.500000000000001,1.0623469897390059,0.9403260310244261,0.024804941680733227
2.600000000000001,1.064827483907079,0.9438444672633035,0.0247890473428697
2.700000000000001,1.0673063886413656,0.9470118621198778,0.0247725332801137
2.800000000000001,1.0697836419693767,0.9498630983764585,0.02475539990531593
2.9000000000000012,1.0722591819599085,0.9524296638025249,0.02473764764680987
3.0000000000000013,1.07473294672459,0.9547399740384213,0.024719276948401057
3.1000000000000014,1.0772048744194302,0.9568196661432868,0.024700288269355997
3.2000000000000015,1.079674903246366,0.9586918633799786,0.024680682084390674
3.3000000000000016,1.082142971454805,0.9603774159155973,0.024660458883658695
3.4000000000000017,1.084609017343171,0.9618951192511302,0.02463961917273902
3.5000000000000018,1.087072979260445,0.9632619121777934,0.024618163472623338
3.600000000000002,1.0895347956077073,0.9644930561146132,0.02459609231970304
3.700000000000002,1.0919944048396772,0.9656022975564034,0.024573406265755788
3.800000000000002,1.0944517454662528,0.9666020151445291,0.024550105877931758
3.900000000000002,1.0969067560540458,0.9675033528301998,0.024526191738739433
4.000000000000002,1.0993593752279192,0.9683163403504461,0.02450166444603104
4.100000000000001,1.101809541672522,0.9690500022430842,0.02447652461298763
4.200000000000001,1.1042571941338208,0.9697124564110088,0.02445077286810371
4.300000000000001,1.1067022714206312,0.9703110033371591,0.02442440985517156
4.4,1.1091447124061486,0.9708522065954015,0.024397436233265138
4.5,1.111584456029475,0.9713419657284732,0.024369852676723584
4.6,1.1140214412971479,0.9717855820093547,0.024341659875134373
4.699999999999999,1.1164556072846616,0.9721878178218916,0.02431285853331608
4.799999999999999,1.1188868931379932,0.9725529504090916,0.024283449371300742
4.899999999999999,1.121315238075123,0.9728848202182656,0.024253433124315885
4.999999999999998,1.123740581387554,0.9731868746026161,0.02422281054276612
5.099999999999998,1.1261628624418303,0.9734622070983696,0.02419158239221439
5.1999999999999975,1.1285820206810517,0.9737135931871109,0.02415974945336283
5.299999999999997,1.130997995626388,0.973943522383773,0.024127312522033262
5.399999999999997,1.1334107268785911,0.9741542271430645,0.024094272409147265
5.4999999999999964,1.135820154119506,0.9743477088731773,0.02406062994070595
5.599999999999996,1.1382262171135766,0.9745257613904337,0.024026385957769278
5.699999999999996,1.1406288557093538,0.974689992051702,0.02399154131643503
5.799999999999995,1.1430280098409968,0.974841840753705,0.02395609688781743
5.899999999999995,1.1454236195297787,0.9749825970615671,0.023920053558025352
5.999999999999995,1.1478156248855809,0.975113415612108,0.023883412228140152
6.099999999999994,1.150203966108395,0.9752353498781885,0.02384617381419318
6.199999999999994,1.1525885834898144,0.9753493066337799,0.02380833924714284
6.299999999999994,1.1549694174145286,0.9754561131166244,0.023769909472851333
6.399999999999993,1.1573464083618132,0.9755565093078873,0.023730885452061024
6.499999999999993,1.1597194969070193,0.9756511569870994,0.0236912681603704
6.5999999999999925,1.1620886237230563,0.9757406478358649,0.023651058588209678
6.699999999999992,1.164453729581877,0.9758255107129422,0.02361025774081608
6.799999999999992,1.1668147553559587,0.9759062182763636,0.02356886663820866
6.8999999999999915,1.1691716420197795,0.975983192775871,0.02352688631516283
6.999999999999991,1.1715243306512957,0.9760568114092795,0.02348431782118448
7.099999999999991,1.1738727624334142,0.9761274110001904,0.023441162220483737
7.19999999999999,1.1762168786554625,0.9761952922739714,0.023397420591948378
7.29999999999999,1.1785566207146578,0.9762607236760867,0.023353094029116832
7.39999999999999,1.1808919301175698,0.976323944763655,0.023308183640150866
7.499999999999989,1.1832227484815845,0.9763851692963668,0.023262690547807864
7.599999999999989,1.1855490175363654,0.976444587918862,0.02321661588941276
7.699999999999989,1.1878706791253066,0.976502370719912,0.023169960816829625
7.799999999999988,1.1901876752069895,0.9765586656981372,0.023122726496432832
7.899999999999988,1.192499947856633,0.9766136119145103,0.02307491410907794
7.999999999999988,1.194807439267541,0.97666732983443,0.023026524850072134
